"Name","Mass","Differentiated","Undiff_Type","Ordinary_Type"
"Charsonville",10.2035921449865,"Undifferentiated","Ordinary","H Meteorite"
"Charwallas",9.39266192877014,"Undifferentiated","Ordinary","H Meteorite"
"Chassigny",8.29404964010203,"Differentiated",NA,NA
"Château-Renard",10.3089526606443,"Undifferentiated","Ordinary","L Meteorite"
"Chaves",7.98786409608569,"Differentiated",NA,NA
"Chela",7.98480338973441,"Undifferentiated","Ordinary","H Meteorite"
"Chelyabinsk",11.5129254649702,"Undifferentiated","Ordinary","LL Meteorite"
"Chergach",11.5129254649702,"Undifferentiated","Ordinary","H Meteorite"
"Chernyi Bor",8.69951474821019,"Undifferentiated","Ordinary","H Meteorite"
"Cherokee Springs",9.03598698483141,"Undifferentiated","Ordinary","LL Meteorite"
"Chervettaz",6.55819780281227,"Undifferentiated","Ordinary","L Meteorite"
"Chervony Kut",7.43838353004431,"Differentiated",NA,NA
"Chetrinahatti",4.27666611901606,"Differentiated",NA,NA
"Chiang Khan",5.90536184805457,"Undifferentiated","Ordinary","H Meteorite"
"Chicora",5.71373280550937,"Undifferentiated","Ordinary","LL Meteorite"
"Chisenga",8.27384693278451,"Differentiated",NA,NA
"Chitenay",8.29404964010203,"Undifferentiated","Ordinary","L Meteorite"
"Cilimus",7.37775890822787,"Undifferentiated","Ordinary","L Meteorite"
"Claxton",7.28276117960559,"Undifferentiated","Ordinary","L Meteorite"
"Clohars",3.88362353090645,"Undifferentiated","Ordinary","L Meteorite"
"Colby (Wisconsin)",11.5521461781235,"Undifferentiated","Ordinary","L Meteorite"
"Cold Bokkeveld",8.55641390456952,"Undifferentiated","Carbonaceous",NA
"Coleman",6.15060276844628,"Undifferentiated","Ordinary","L Meteorite"
"Collescipoli",8.51719319141624,"Undifferentiated","Ordinary","H Meteorite"
"Conquista",9.92083619087074,"Undifferentiated","Ordinary","H Meteorite"
"Cosina",7.09007683577609,"Undifferentiated","Ordinary","H Meteorite"
"Cranganore",7.28619171470238,"Undifferentiated","Ordinary","L Meteorite"
"Crescent",4.36182392735636,"Undifferentiated","Carbonaceous",NA
"Cronstad",8.20248244657654,"Undifferentiated","Ordinary","H Meteorite"
"Cross Roads",5.11799381241676,"Undifferentiated","Ordinary","H Meteorite"
"Crumlin",8.35585004100747,"Undifferentiated","Ordinary","L Meteorite"
"Cumberland Falls",9.74096862303835,"Differentiated",NA,NA
"Cynthiana",8.69951474821019,"Undifferentiated","Ordinary","L Meteorite"
"Dahmani",9.7981270368783,"Undifferentiated","Ordinary","LL Meteorite"
"Dandapur",8.63941082414049,"Undifferentiated","Ordinary","L Meteorite"
"Daniel's Kuil",6.96979066990159,"Undifferentiated","Enstatite",NA
"Danville",7.60090245954208,"Undifferentiated","Ordinary","L Meteorite"
"Darmstadt",4.60517018598809,"Undifferentiated","Ordinary","H Meteorite"
"Dashoguz",8.85366542803745,"Undifferentiated","Ordinary","H Meteorite"
"Daule",8.79179002431936,"Undifferentiated","Ordinary","L Meteorite"
"De Cewsville",5.82894561761021,"Undifferentiated","Ordinary","H Meteorite"
"Deal",3.3322045101752,"Undifferentiated","Ordinary","L Meteorite"
"Delhi",-0.22314355131421,"Undifferentiated","Ordinary","L Meteorite"
"Demina",9.70503661381229,"Undifferentiated","Ordinary","L Meteorite"
"Denver",5.4380793089232,"Undifferentiated","Ordinary","L Meteorite"
"Dergaon",9.43348392329039,"Undifferentiated","Ordinary","H Meteorite"
"Desuri",10.1425044530066,"Undifferentiated","Ordinary","H Meteorite"
"Devgaon",9.39266192877014,"Undifferentiated","Ordinary","H Meteorite"
"Devri-Khera",7.03878354138854,"Undifferentiated","Ordinary","L Meteorite"
"Dhajala",10.7144177687525,"Undifferentiated","Ordinary","H Meteorite"
"Dharwar",7.49554194388426,"Undifferentiated","Carbonaceous",NA
"Dhurmsala",10.3734911817819,"Undifferentiated","Ordinary","LL Meteorite"
"Didim",8.13035354743124,"Undifferentiated","Ordinary","H Meteorite"
"Diep River",6.90775527898214,"Undifferentiated","Ordinary","L Meteorite"
"Distrito Quebracho",5.99146454710798,"Undifferentiated","Ordinary","H Meteorite"
"Djati-Pengilon",12.0197430673387,"Undifferentiated","Ordinary","H Meteorite"
"Djermaia",8.28147085789517,"Undifferentiated","Ordinary","H Meteorite"
"Djoumine",9.21034037197618,"Undifferentiated","Ordinary","H Meteorite"
"Dokachi",8.25322764558177,"Undifferentiated","Ordinary","H Meteorite"
"Dolgovoli",7.37775890822787,"Undifferentiated","Ordinary","L Meteorite"
"Domanitch",6.08221891037645,"Undifferentiated","Ordinary","L Meteorite"
"Dong Ujimqin Qi",11.7660160926524,"Differentiated",NA,NA
"Donga Kohrod",5.4380793089232,"Undifferentiated","Ordinary","H Meteorite"
"Dongtai",8.61250337122056,"Undifferentiated","Ordinary","LL Meteorite"
"Doroninsk",8.26642147298455,"Undifferentiated","Ordinary","H Meteorite"
"Dosso",7.13089883029635,"Undifferentiated","Ordinary","L Meteorite"
"Douar Mghila",7.05703698169789,"Undifferentiated","Ordinary","LL Meteorite"
"Dowa",6.46458830368996,"Differentiated",NA,NA
"Drake Creek",8.51719319141624,"Undifferentiated","Ordinary","L Meteorite"
"Dresden (Ontario)",10.7726866768764,"Undifferentiated","Ordinary","H Meteorite"
"Dubrovnik",7.54960916515453,"Undifferentiated","Ordinary","L Meteorite"
"Dunbogan",3.40119738166216,"Undifferentiated","Ordinary","L Meteorite"
"Dundrum",7.72753511047545,"Undifferentiated","Ordinary","H Meteorite"
"Durala",9.48797210857446,"Undifferentiated","Ordinary","L Meteorite"
"Duruma",6.3578422665081,"Undifferentiated","Ordinary","L Meteorite"
"Duwun",7.65775527113487,"Undifferentiated","Ordinary","L Meteorite"
"Dwaleni",8.0802374162167,"Undifferentiated","Ordinary","H Meteorite"
"Dyalpur",5.7037824746562,"Differentiated",NA,NA
"Dyarrl Island",5.23644196282995,"Differentiated",NA,NA
"Eagle",9.21034037197618,"Undifferentiated","Enstatite",NA
"Ehole",7.78322401633604,"Undifferentiated","Ordinary","H Meteorite"
"Eichstädt",8.00636756765025,"Undifferentiated","Ordinary","H Meteorite"
"Ekeby",8.11252776347864,"Undifferentiated","Ordinary","H Meteorite"
"Ekh Khera",6.73340189183736,"Undifferentiated","Ordinary","H Meteorite"
"El Idrissia",9.21034037197618,"Undifferentiated","Ordinary","L Meteorite"
"El Paso de Aguila",9.75417514934912,"Undifferentiated","Ordinary","H Meteorite"
"El Tigre",8.51719319141624,"Undifferentiated","Ordinary","L Meteorite"
"Elbert",6.52282782209152,"Undifferentiated","Ordinary","LL Meteorite"
"Elbogen",11.580584113444,"Differentiated",NA,NA
"Elenovka",10.9085214942447,"Undifferentiated","Ordinary","L Meteorite"
"Ellemeet",7.29301767977278,"Differentiated",NA,NA
"Emmaville",4.84418708645859,"Differentiated",NA,NA
"Enshi",8.98719682066197,"Undifferentiated","Ordinary","H Meteorite"
"Ensisheim",11.7519423654407,"Undifferentiated","Ordinary","LL Meteorite"
